,fidelity,radius,thickness,npanels,theta,length,height,z_offset,volume,nC_Ge77,prod_rate_Ge77[nuc/(kg*yr)],total_nC_Ge77[cts],nC_Ge77_scaling,time_0[ms],x_0[m],y_0[m],z_0[m],r_0[m],L_0[m],px_0[m],py_0[m],pz_0[m],ekin_0[eV],edep_0[eV],vol_0,time_t[ms],x_t[m],y_t[m],z_t[m],r_t[m],L_t[m],px_t[m],py_t[m],pz_t[m],ekin_t[eV],edep_t[eV],ln(E0vsET),vol_t,nsteps,nC_A,nC_Z,nsec,nsec_with_nC,nprimaries,weights
4497,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.4983939,0.42157088,-0.71429141,1.556568754158063,1.7126349595932495,0.90570756,0.40140191,-0.13627297,1408959.31,0.0,7.0,437.929573,-1.0893066,-0.38190022,-1.659987,1.1543121964354393,2.021878702348044,0.0,-0.0,0.0,0.0,0.0,30.27645756278481,7.0,106,41,18,1,0,1.0,4e-05
4498,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.01711151,-2.64303445,0.64658977,2.643089841012084,2.721029628344744,0.08770287,0.11515971,0.98946776,729935.997,0.0,7.0,44.18129436,-0.13449061,-1.69810451,2.32138617,1.7034220413803831,2.879319433707865,-0.0,0.0,0.0,0.0,0.0,29.61880778489672,3.0,10,156,64,1,0,1.0,4e-05
4499,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.1132427,0.32338337,-1.94993815,0.3426378745787554,1.979812996704808,-0.81787779,-0.53167735,-0.21998891,8815299.11225255,0.0,7.0,0.00388752,-0.24290285,0.23909527,-1.98481352,0.3408347732765766,2.013865202005657,-0.0,-0.0,-0.0,0.0,0.0,32.11009495638648,7.0,2,0,0,3,0,1.0,4e-05
4500,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.23347901,0.14444858,-0.57831425,2.2381451875100944,2.311653358989548,0.42168906,-0.57914054,-0.69769231,18205547.46360369,0.0,7.0,0.00437839,2.34088425,-0.00305994,-0.7560182,2.3408862499341714,2.4599414533403245,0.0,-0.0,-0.0,0.0,0.0,32.83533256225404,7.0,2,0,0,4,0,1.0,4e-05
4501,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.30729113,-1.77070285,-3.50740839,2.2009994733245164,4.140810584392528,0.85962713,-0.49950371,-0.10741152,3256765.09746211,0.0,7.0,0.02277671,-1.20237119,-1.45475625,-3.47016109,1.8873293897611192,3.950193693479608,0.0,0.0,-0.0,0.0,0.0,31.114340610252256,7.0,4,0,0,2,0,1.0,4e-05
4502,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.04073922,-0.2955075,-0.34251478,0.2983024750189954,0.4542034138146771,-0.99286355,-0.09790296,-0.06809545,6850051.40911551,0.0,11.0,0.00806897,-0.32918155,-0.32394984,-0.36229757,0.4618484510057689,0.5869953329663984,-0.0,-0.0,-0.0,0.0,0.0,31.85786236614893,12.0,5,0,0,3,0,1.0,4e-05
4503,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.40265771,-1.20968423,0.0994191,2.690000001437386,2.691836578467933,0.221110892,0.704036016,0.674865366,1003967.31,0.0,6.0,80.4994109,-2.38382065,-0.56671511,-1.31893191,2.450258538862529,2.782687242664001,0.0,-0.0,0.0,0.0,0.0,29.93756566990109,7.0,48,41,18,1,0,1.0,4e-05
4504,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.66794509,-0.22429531,1.09984076,0.7045984880363456,1.306180970118797,0.60709925,-0.4482124,0.65615253,2294498.84638905,0.0,11.0,0.04864555,-0.7923719,-0.5227167,1.30446305,0.9492554852980836,1.6132916119486282,-0.0,0.0,0.0,0.0,0.0,30.76412066100296,10.0,10,0,0,2,0,1.0,4e-05
4505,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.79089617,1.30185788,0.69370619,1.523269736927365,1.6737917939466305,-0.42155924,0.338539,0.84123668,8515214.63904373,0.0,7.0,0.00058038,0.78005713,1.31250142,0.71087375,1.5268101072385698,1.6841884075141105,-0.0,0.0,0.0,0.0,0.0,32.07546072988851,7.0,3,0,0,3,0,1.0,4e-05
4506,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.49314669,1.03068292,1.69,1.1425852000781749,2.040000230254321,-0.465560373,0.863769269,-0.192759405,454371.448,0.0,7.0,408.993731,-0.45366396,1.51919888,1.69000475,1.585489270098078,2.317302802962681,-0.0,0.0,0.0,0.0,0.0,29.144765960866184,6.0,62,61,28,1,0,1.0,4e-05
